
========================================================================
                       optimization routine : 2
                     set of starting values : 1
========================================================================
theta2 starting values:
   -2.586421   -0.616377    0.227579   -0.715240   -0.990075   -0.381565    0.358318    0.611703    0.734786    0.618955   -1.817857   -1.368475    0.484120
 
 Iteration   Func-count     min f(x)         Procedure
     0            1          51770.3         
     1           14          49633.7         initial simplex
     2           16          40197.4         expand
     3           17          40197.4         reflect
     4           18          40197.4         reflect
     5           19          40197.4         reflect
     6           20          40197.4         reflect
     7           21          40197.4         reflect
     8           22          40197.4         reflect
     9           23          40197.4         reflect
    10           24          40197.4         reflect
    11           25          40197.4         reflect
    12           26          40197.4         reflect
    13           27          40197.4         reflect
    14           28          40197.4         reflect
    15           29          40197.4         reflect
    16           30          40197.4         reflect
    17           31          40197.4         reflect
    18           32          40197.4         reflect
    19           34          30714.4         expand
    20           35          30714.4         reflect
    21           36          30714.4         reflect
    22           37          30714.4         reflect
    23           39          28376.1         expand
    24           40          28376.1         reflect
    25           41          28376.1         reflect
    26           42          28376.1         reflect
    27           43          28376.1         reflect
    28           44          28376.1         reflect
    29           46            25621         expand
    30           47            25621         reflect
    31           48            25621         reflect
    32           49            25621         reflect
    33           50            25621         reflect
    34           52          23465.7         expand
    35           53          23465.7         reflect
    36           54          23465.7         reflect
    37           55          23465.7         reflect
    38           56          23465.7         reflect
    39           58          9354.76         expand
    40           59          9354.76         reflect
    41           60          9354.76         reflect
    42           61          9354.76         reflect
    43           62          9354.76         reflect
    44           64          3956.56         expand
    45           65          3956.56         reflect
    46           66          3956.56         reflect
    47           67          3956.56         reflect
    48           68          3956.56         reflect
    49           69          3956.56         reflect
    50           71          2377.21         expand
    51           72          2377.21         reflect
    52           73          2377.21         reflect
    53           74          2377.21         reflect
    54           75          2377.21         reflect
    55           76          2377.21         reflect
    56           77          2377.21         reflect
    57           79          1820.88         expand
    58           80          1820.88         reflect
    59           81          1820.88         reflect
    60           82          1820.88         reflect
    61           83          1820.88         reflect
    62           84          1820.88         reflect
    63           85          1820.88         reflect
    64           86          1820.88         reflect
    65           87          1820.88         reflect
    66           88          1820.88         reflect
    67           89          1820.88         reflect
    68           90          1820.88         reflect
    69           92          1820.88         contract outside
    70           93          1820.88         reflect
    71           95          1820.88         contract inside
    72           97          1820.88         contract inside
    73           98          1820.88         reflect
    74          100          1820.88         contract inside
    75          102          1820.88         contract inside
    76          104          1820.88         contract inside
    77          106          1820.88         contract inside
    78          108          1820.88         contract inside
    79          109          1820.88         reflect
    80          111          1820.88         contract inside
    81          112          1820.88         reflect
    82          114          1820.88         contract inside
    83          116          1820.88         contract inside
    84          117          1820.88         reflect
    85          119          1820.88         contract inside
    86          121          1820.88         contract inside
    87          122          1820.88         reflect
    88          124          1820.88         contract inside
    89          125          1820.88         reflect
    90          127          1820.88         contract inside
    91          128          1820.88         reflect
    92          129          1820.88         reflect
    93          130          1820.88         reflect
    94          132          1820.88         contract inside
    95          133          1820.88         reflect
    96          134          1820.88         reflect
    97          135          1820.88         reflect
    98          136          1820.88         reflect
    99          138          1772.96         expand
   100          139          1772.96         reflect
   101          140          1772.96         reflect
   102          142          1732.62         expand
   103          143          1732.62         reflect
   104          145          1732.62         contract inside
   105          146          1732.62         reflect
   106          147          1732.62         reflect
   107          148          1732.62         reflect
   108          149          1732.62         reflect
   109          150          1732.62         reflect
   110          151          1732.62         reflect
   111          152          1732.62         reflect
   112          153          1732.62         reflect
   113          154          1732.62         reflect
   114          156          1731.85         reflect
   115          158          1654.47         expand
   116          159          1654.47         reflect
   117          161          1551.41         expand
   118          162          1551.41         reflect
   119          163          1551.41         reflect
   120          164          1551.41         reflect
   121          165          1551.41         reflect
   122          166          1551.41         reflect
   123          167          1551.41         reflect
   124          168          1551.41         reflect
   125          169          1551.41         reflect
   126          170          1551.41         reflect
   127          171          1551.41         reflect
   128          173          1458.32         expand
   129          174          1458.32         reflect
   130          176          1332.61         expand
   131          177          1332.61         reflect
   132          178          1332.61         reflect
   133          179          1332.61         reflect
   134          180          1332.61         reflect
   135          181          1332.61         reflect
   136          182          1332.61         reflect
   137          183          1332.61         reflect
   138          184          1332.61         reflect
   139          186          1221.62         expand
   140          187          1221.62         reflect
   141          188          1221.62         reflect
   142          189          1221.62         reflect
   143          190          1221.62         reflect
   144          191          1221.62         reflect
   145          192          1221.62         reflect
   146          194          1027.03         expand
   147          195          1027.03         reflect
   148          196          1027.03         reflect
   149          197          1027.03         reflect
   150          198          1027.03         reflect
   151          199          1027.03         reflect
   152          200          1027.03         reflect
   153          201          1027.03         reflect
   154          203          917.385         expand
   155          204          917.385         reflect
   156          205          917.385         reflect
