
========================================================================
                       optimization routine : 9
                     set of starting values : 1
========================================================================
theta2 starting values:
   -2.586421   -0.616377    0.227579   -0.715240   -0.990075   -0.381565    0.358318    0.611703    0.734786    0.618955   -1.817857   -1.368475    0.484120


Iter     f-count          f(x)      MeshSize     Method
    0        1        51770.3             1      
    1        3        46045.1             1     Successful Search
    2        5        44893.7             1     Successful Search
    3        7        28111.2             1     Successful Search
    4       19        2453.19             1     Successful Search
    5       22        2448.31             1     Successful Search
    6       25        2443.76             1     Successful Search
    7       28        2439.79             1     Successful Search
    8       31        2436.43             1     Successful Search
    9       34         2433.7             1     Successful Search
   10       37        2431.65             1     Successful Search
   11       40        2430.31             1     Successful Search
   12       43        2429.71             1     Successful Search
   13       52        2425.11             1     Successful Search
   14       55        2424.84             1     Successful Search
   15       66        2393.33             1     Successful Search
   16       79        2376.13             1     Successful Search
   17       88        2374.09             1     Successful Search
   18       91        2373.83             1     Successful Search
   19      104        2362.56             1     Successful Search
   20      118        2360.52             1     Successful Search
   21      132        2358.39             1     Successful Search
   22      146        2356.24             1     Successful Search
   23      160        2354.09             1     Successful Search
   24      174        2351.92             1     Successful Search
   25      187        2351.54             1     Successful Search
   26      201        2348.95             1     Successful Search
   27      215        2346.31             1     Successful Search
   28      229        2343.66             1     Successful Search
   29      243        2341.01             1     Successful Search
   30      257        2338.35             1     Successful Search

Iter     f-count        f(x)       MeshSize      Method
   31      271        2335.69             1     Successful Search
   32      285        2333.02             1     Successful Search
   33      299        2330.34             1     Successful Search
   34      313        2327.65             1     Successful Search
   35      327        2324.96             1     Successful Search
   36      341        2322.26             1     Successful Search
   37      355        2319.55             1     Successful Search
   38      369        2316.83             1     Successful Search
   39      383        2314.11             1     Successful Search
   40      397        2311.37             1     Successful Search
   41      411        2308.63             1     Successful Search
   42      425        2305.89             1     Successful Search
   43      439        2303.13             1     Successful Search
   44      453        2300.37             1     Successful Search
   45      467         2297.6             1     Successful Search
   46      470        2297.59             1     Successful Search
   47      484         2294.7             1     Successful Search
   48      498        2291.85             1     Successful Search
   49      512           2289             1     Successful Search
   50      526        2286.15             1     Successful Search
   51      540        2283.29             1     Successful Search
   52      554        2280.44             1     Successful Search
   53      568        2277.59             1     Successful Search
   54      571        2277.56             1     Successful Search
   55      585        2274.64             1     Successful Search
   56      599        2271.77             1     Successful Search
   57      613         2268.9             1     Successful Search
   58      627        2266.06             1     Successful Search
   59      641        2263.23             1     Successful Search
   60      655        2260.42             1     Successful Search

Iter     f-count        f(x)       MeshSize      Method
   61      669        2257.63             1     Successful Search
   62      683        2254.87             1     Successful Search
   63      697        2252.14             1     Successful Search
   64      711        2249.44             1     Successful Search
   65      725        2246.77             1     Successful Search
   66      739        2244.13             1     Successful Search
   67      753        2241.54             1     Successful Search
   68      767        2238.98             1     Successful Search
   69      781        2236.47             1     Successful Search
   70      795        2234.01             1     Successful Search
   71      809         2231.6             1     Successful Search
   72      823        2229.24             1     Successful Search
   73      837        2226.94             1     Successful Search
   74      851         2224.7             1     Successful Search
   75      865        2222.51             1     Successful Search
   76      879         2220.4             1     Successful Search
   77      893        2218.35             1     Successful Search
   78      907        2216.37             1     Successful Search
   79      921        2214.47             1     Successful Search
   80      935        2212.64             1     Successful Search
   81      949        2210.89             1     Successful Search
   82      963        2209.23             1     Successful Search
   83      977        2207.65             1     Successful Search
   84      991        2206.16             1     Successful Search
   85     1005        2204.75             1     Successful Search
   86     1019        2203.45             1     Successful Search
   87     1033        2202.24             1     Successful Search
   88     1047        2201.13             1     Successful Search
   89     1061        2200.12             1     Successful Search
   90     1075        2199.21             1     Successful Search

Iter     f-count        f(x)       MeshSize      Method
   91     1089        2198.41             1     Successful Search
   92     1103        2197.73             1     Successful Search
   93     1117        2197.15             1     Successful Search
   94     1131        2196.68             1     Successful Search
   95     1145        2196.33             1     Successful Search
